Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,126182,Adams State University,00134500,1,Adams State University,7826,0,6,12
2001,126678,Colorado College,00134700,1,Colorado College,1952,0,2,3
2001,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,5302,0,1,7
2001,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6618,0,3,14
2001,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2109,0,2,0
2001,126775,Colorado School of Mines,00134800,1,Main Campus,3705,0,3,18
2001,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5606,0,5,9
2001,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28103,1,50,147
2001,126863,Community College of Aurora,02276900,1,CentreTech Campus,4858,0,0,0
2001,126979,Denver Seminary,00135200,1,Main Campus,736,0,0,0
2001,127185,Fort Lewis College,00135300,1,Main Campus,4429,0,5,38
2001,127273,Iliff School of Theology,00135400,1,Main Campus,312,0,0,0
2001,127389,Lamar Community College,00135500,1,Lamar Community College,995,0,0,0
2001,127653,Naropa University,02117500,1,Arapahoe Campus,1063,0,0,0
2001,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),3768,0,0,0
2001,127778,Otero Junior College,00136200,1,Main Campus,1404,0,0,15
2001,127918,Regis University,00136300,1,Northwest Denver Campus,10069,0,0,0
2001,127945,Rocky Mountain College of Art and Design,00764900,1,Rocky Mountain College of Art + Design,419,0,0,0
2001,128258,Trinidad State College,00136800,1,Trinidad Campus,1979,0,1,5
2001,126614,University of Colorado Boulder,00137000,1,Main Campus,30063,0,29,65
2001,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,7980,0,9,21
2001,127060,University of Denver,00137100,1,University Park Campus,9385,0,0,0
2001,127060,University of Denver,00137100,2,Four Corners Campus,9385,0,0,0
2001,127741,University of Northern Colorado,00134900,1,Main Campus,12301,3,21,32
2001,128391,Western Colorado University,00137200,1,Main Campus,2308,1,16,4
2002,126182,Adams State University,00134500,1,Adams State University,7708,0,12,65
2002,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1801,0,0,0
2002,126678,Colorado College,00134700,1,Colorado College,1930,0,0,0
2002,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,5572,0,7,11
