Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2011,126182,Adams State University,00134500,1,Adams State University,3302,0,0,0,,,0,,,0,0,0,0,0
2011,133872,AdventHealth University,03115500,1,Main Campus,2668,0,0,0,,,0,,,0,0,1,0,0
2011,126678,Colorado College,00134700,1,Colorado College,2043,0,0,0,,,0,,,0,0,0,0,0
2011,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9005,0,0,0,,,0,,,0,0,0,0,0
2011,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,9005,0,0,0,,,0,,,0,0,0,0,0
2011,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5823,0,0,0,,,0,,,0,0,0,0,0
2011,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1291,0,0,0,,,0,,,0,0,0,0,0
2011,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7174,0,0,0,,,0,,,0,0,0,0,0
2011,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30467,0,0,1,,,0,,,0,0,5,0,1
2011,127158,Emily Griffith Technical College,00559600,1,Main Campus,2995,0,0,0,,,0,,,0,0,3,1,0
2011,127200,Front Range Community College,00793300,2,Larimer Campus,20568,0,0,0,,,0,,,0,0,0,0,0
2011,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),23789,0,0,1,,,0,,,0,4,2,0,0
2011,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1885,0,0,0,,,0,,,0,0,0,0,0
2011,127653,Naropa University,02117500,1,Arapahoe Campus,1090,0,0,0,,,0,,,0,0,0,0,0
2011,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2154,0,0,0,,,0,,,0,0,0,0,0
2011,127778,Otero Junior College,00136200,1,Main Campus,1546,0,0,0,,,0,,,0,0,0,0,0
2011,128151,Pickens Technical College,01287500,1,Pickens Technical College,1302,0,0,0,,,0,,,0,0,0,0,0
2011,127918,Regis University,00136300,1,Northwest Denver Campus,11253,0,0,0,,,0,,,0,0,0,0,0
2011,128258,Trinidad State College,00136800,1,Trinidad Campus,1839,0,0,0,,,0,,,0,0,0,0,0
2011,128258,Trinidad State College,00136800,2,Valley Campus,1839,0,0,0,,,0,,,0,0,0,0,0
2011,126614,University of Colorado Boulder,00137000,1,Main Campus,32558,0,0,2,,,0,,,0,1,6,1,0
2011,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,10183,0,0,0,,,0,,,0,0,3,0,0
2011,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22495,0,0,3,,,0,,,1,0,0,0,0
2011,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,22495,0,0,0,,,0,,,0,0,2,0,0
2011,127060,University of Denver,00137100,1,University Park Campus,11797,0,0,0,,,0,,,0,0,0,0,0
2011,127741,University of Northern Colorado,00134900,1,Main Campus,13038,0,0,0,,,0,,,0,2,0,0,0
2011,179894,Webster University,00252100,1,Webster University St. Louis-Main Campus,19224,0,0,0,,,0,,,0,0,0,1,0
2011,179894,Webster University,00252100,2,Vienna,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,3,Geneva,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,4,Leiden,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,5,Cha-Am/Hua-Hin,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,13,Denver Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,14,Northwest Arkansas (Rogers) Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,18,Jacksonville Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,19,Louisville Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,27,Orlando Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,28,Orlando South Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,31,San Diego Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,33,Merritt Island (Space Coast Metropolitan Campus),19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,38,Albuquerque Metropolitan Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,40,Melbourne Campus,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,46,Andrews Air Force Base,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,48,Beaufort Naval Hospital,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,49,Bolling Air Force Base,19224,0,0,0,,,0,,,0,0,0,0,0
2011,179894,Webster University,00252100,52,Peterson Air Force Base,19224,0,0,0,,,0,,,0,0,0,0,0
