Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,126182,Adams State University,00134500,1,Adams State University,2920,0,23,14
2008,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2599,0,3,5
2008,126678,Colorado College,00134700,1,Colorado College,2026,5,310,631
2008,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6262,0,8,72
2008,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5092,0,2,2
2008,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1383,0,1,10
2008,126775,Colorado School of Mines,00134800,1,Main Campus,4704,0,0,1
2008,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6759,0,7,25
2008,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28882,0,50,169
2008,126979,Denver Seminary,00135200,1,Main Campus,880,0,0,0
2008,127185,Fort Lewis College,00135300,1,Main Campus,3740,0,73,260
2008,127273,Iliff School of Theology,00135400,1,Main Campus,194,0,0,0
2008,127389,Lamar Community College,00135500,1,Lamar Community College,1138,0,2,1
2008,127653,Naropa University,02117500,1,Arapahoe Campus,1075,0,10,12
2008,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2698,0,0,14
2008,127778,Otero Junior College,00136200,1,Main Campus,1551,0,0,0
2008,127918,Regis University,00136300,1,Northwest Denver Campus,11040,0,9,54
2008,128258,Trinidad State College,00136800,1,Trinidad Campus,1740,1,1,3
2008,126614,University of Colorado Boulder,00137000,1,Main Campus,32469,4,48,240
2008,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9373,0,0,28
2008,127060,University of Denver,00137100,1,University Park Campus,11328,3,88,441
2008,127741,University of Northern Colorado,00134900,1,Main Campus,12498,0,187,556
2008,128391,Western Colorado University,00137200,1,Main Campus,2315,0,22,143
2009,126182,Adams State University,00134500,1,Adams State University,3121,0,5,253
2009,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2511,0,3,8
2009,126678,Colorado College,00134700,1,Colorado College,2032,6,259,204
2009,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,7042,0,35,162
2009,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5741,1,4,77
2009,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1375,0,2,29
2009,126775,Colorado School of Mines,00134800,1,Main Campus,5124,0,0,21
2009,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6443,0,7,81
2009,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28902,0,122,92
2009,126979,Denver Seminary,00135200,1,Main Campus,925,0,0,0
2009,127185,Fort Lewis College,00135300,1,Main Campus,3770,0,51,259
2009,127273,Iliff School of Theology,00135400,1,Main Campus,303,0,0,0
2009,127389,Lamar Community College,00135500,1,Lamar Community College,1080,0,1,1
2009,127653,Naropa University,02117500,1,Arapahoe Campus,1073,0,2,5
2009,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2497,0,3,21
2009,127778,Otero Junior College,00136200,1,Main Campus,1660,0,4,9
2009,127918,Regis University,00136300,1,Northwest Denver Campus,10874,0,1,55
2009,128258,Trinidad State College,00136800,1,Trinidad Campus,1812,2,4,7
2009,126614,University of Colorado Boulder,00137000,1,Main Campus,33010,18,1179,2115
2009,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9733,0,3,69
2009,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23715,1,34,100
2009,127060,University of Denver,00137100,1,University Park Campus,11644,0,144,547
2009,127741,University of Northern Colorado,00134900,1,Main Campus,12711,0,82,539
2009,128391,Western Colorado University,00137200,1,Main Campus,2237,1,41,125
2010,126182,Adams State University,00134500,1,Adams State University,3237,1,19,122
2010,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2733,0,12,16
2010,126678,Colorado College,00134700,1,Colorado College,2091,2,185,222
2010,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,8130,0,57,315
